Bank 0: [0.0, 0.81640625, -1.296875, 1.2421875, -0.60546875, -0.361328125, -0.1279296875, -0.306640625, -1.7109375, 0.142578125, 0.3203125, -1.4140625, 0.7578125, 0.83203125, 0.177734375, 1.0, -0.67578125, 0.125, 1.0234375, -0.039794921875, 0.84375, 0.84765625, 0.47265625, 0.5390625, 0.0022430419921875, 0.1474609375, 1.1328125, 0.96484375, -0.65625, 0.73046875, 1.671875, 0.353515625]
Bank 1: [0.0, -0.6171875, 1.3359375, -1.796875, -1.234375, -1.1015625, -0.6015625, 0.014404296875, -0.2177734375, -0.062255859375, -0.490234375, -1.3828125, 0.8046875, 1.109375, 0.412109375, 0.12109375, 0.8359375, -1.328125, 1.8203125, -1.015625, -0.12451171875, -0.5, 0.458984375, -1.3046875, 0.9296875, -0.14453125, -0.55859375, 2.03125, -1.5234375, -0.2890625, -2.515625, -2.53125]
Bank 2: [0.0, 1.8203125, 1.421875, -0.2021484375, 0.1640625, 0.51953125, 1.03125, 0.2099609375, -1.1484375, 0.54296875, 0.5, 1.25, -0.6796875, -0.421875, 0.56640625, 0.478515625, -0.9609375, 0.71484375, -0.392578125, 1.3046875, 0.416015625, -0.87109375, -1.375, -1.84375, 0.3046875, -0.73046875, -0.18359375, -0.5625, -0.0205078125, 0.8671875, 0.73046875, 1.75]
Bank 3: [0.81640625, -1.296875, 1.2421875, -0.60546875, -0.361328125, -0.1279296875, -0.306640625, -1.7109375, 0.142578125, 0.3203125, -1.4140625, 0.7578125, 0.83203125, 0.177734375, 1.0, -0.67578125, 0.125, 1.0234375, -0.039794921875, 0.84375, 0.84765625, 0.47265625, 0.5390625, 0.0022430419921875, 0.1474609375, 1.1328125, 0.96484375, -0.65625, 0.73046875, 1.671875, 0.353515625, 0.302734375]
Bank 4: [-0.6171875, 1.3359375, -1.796875, -1.234375, -1.1015625, -0.6015625, 0.014404296875, -0.2177734375, -0.062255859375, -0.490234375, -1.3828125, 0.8046875, 1.109375, 0.412109375, 0.12109375, 0.8359375, -1.328125, 1.8203125, -1.015625, -0.12451171875, -0.5, 0.458984375, -1.3046875, 0.9296875, -0.14453125, -0.55859375, 2.03125, -1.5234375, -0.2890625, -2.515625, -2.53125, -0.02294921875]
Bank 5: [1.8203125, 1.421875, -0.2021484375, 0.1640625, 0.51953125, 1.03125, 0.2099609375, -1.1484375, 0.54296875, 0.5, 1.25, -0.6796875, -0.421875, 0.56640625, 0.478515625, -0.9609375, 0.71484375, -0.392578125, 1.3046875, 0.416015625, -0.87109375, -1.375, -1.84375, 0.3046875, -0.73046875, -0.18359375, -0.5625, -0.0205078125, 0.8671875, 0.73046875, 1.75, -0.2421875]
Bank 6: [-1.296875, 1.2421875, -0.60546875, -0.361328125, -0.1279296875, -0.306640625, -1.7109375, 0.142578125, 0.3203125, -1.4140625, 0.7578125, 0.83203125, 0.177734375, 1.0, -0.67578125, 0.125, 1.0234375, -0.039794921875, 0.84375, 0.84765625, 0.47265625, 0.5390625, 0.0022430419921875, 0.1474609375, 1.1328125, 0.96484375, -0.65625, 0.73046875, 1.671875, 0.353515625, 0.302734375, 0.0]
Bank 7: [1.3359375, -1.796875, -1.234375, -1.1015625, -0.6015625, 0.014404296875, -0.2177734375, -0.062255859375, -0.490234375, -1.3828125, 0.8046875, 1.109375, 0.412109375, 0.12109375, 0.8359375, -1.328125, 1.8203125, -1.015625, -0.12451171875, -0.5, 0.458984375, -1.3046875, 0.9296875, -0.14453125, -0.55859375, 2.03125, -1.5234375, -0.2890625, -2.515625, -2.53125, -0.02294921875, 0.0]
Bank 8: [1.421875, -0.2021484375, 0.1640625, 0.51953125, 1.03125, 0.2099609375, -1.1484375, 0.54296875, 0.5, 1.25, -0.6796875, -0.421875, 0.56640625, 0.478515625, -0.9609375, 0.71484375, -0.392578125, 1.3046875, 0.416015625, -0.87109375, -1.375, -1.84375, 0.3046875, -0.73046875, -0.18359375, -0.5625, -0.0205078125, 0.8671875, 0.73046875, 1.75, -0.2421875, 0.0]
Bank 9: [0.0, -1.1328125, 0.6015625, 0.83203125, -0.10205078125, 0.212890625, 0.8046875, 0.69921875, -0.6484375, 0.18359375, -0.267578125, -0.83984375, -1.4765625, -1.0078125, 1.359375, 1.1875, -2.765625, -0.77734375, -2.421875, 0.111328125, 0.9453125, -1.21875, 0.78515625, -2.09375, 0.453125, 1.296875, -0.33203125, -1.0625, 0.38671875, 1.4765625, -0.91015625, -1.6015625]
Bank 10: [0.0, 2.109375, 0.10498046875, -1.703125, 0.33984375, 0.2041015625, -0.8828125, 1.046875, 0.5546875, 0.81640625, 0.578125, -0.5703125, -0.953125, -0.70703125, -0.98046875, -0.1708984375, 0.26953125, 0.55859375, 1.125, -0.2578125, 2.546875, -1.1796875, -0.828125, -1.109375, 1.2578125, -0.3046875, -1.1015625, 0.15625, -0.76171875, -0.51953125, -0.259765625, -2.140625]
Bank 11: [0.0, 0.498046875, -0.0203857421875, -1.25, -0.96484375, -0.74609375, -2.140625, -0.15625, 0.09716796875, 0.64453125, -1.8828125, -0.9296875, -2.453125, -1.8125, -0.287109375, -0.400390625, 0.7265625, 1.359375, -0.333984375, 0.047607421875, 0.095703125, 2.578125, -0.1435546875, -0.4765625, -0.228515625, 1.2734375, 0.177734375, -0.283203125, 1.484375, -0.51171875, 0.859375, 2.609375]
Bank 12: [-1.1328125, 0.6015625, 0.83203125, -0.10205078125, 0.212890625, 0.8046875, 0.69921875, -0.6484375, 0.18359375, -0.267578125, -0.83984375, -1.4765625, -1.0078125, 1.359375, 1.1875, -2.765625, -0.77734375, -2.421875, 0.111328125, 0.9453125, -1.21875, 0.78515625, -2.09375, 0.453125, 1.296875, -0.33203125, -1.0625, 0.38671875, 1.4765625, -0.91015625, -1.6015625, -0.59375]
Bank 13: [2.109375, 0.10498046875, -1.703125, 0.33984375, 0.2041015625, -0.8828125, 1.046875, 0.5546875, 0.81640625, 0.578125, -0.5703125, -0.953125, -0.70703125, -0.98046875, -0.1708984375, 0.26953125, 0.55859375, 1.125, -0.2578125, 2.546875, -1.1796875, -0.828125, -1.109375, 1.2578125, -0.3046875, -1.1015625, 0.15625, -0.76171875, -0.51953125, -0.259765625, -2.140625, 1.0234375]
Bank 14: [0.498046875, -0.0203857421875, -1.25, -0.96484375, -0.74609375, -2.140625, -0.15625, 0.09716796875, 0.64453125, -1.8828125, -0.9296875, -2.453125, -1.8125, -0.287109375, -0.400390625, 0.7265625, 1.359375, -0.333984375, 0.047607421875, 0.095703125, 2.578125, -0.1435546875, -0.4765625, -0.228515625, 1.2734375, 0.177734375, -0.283203125, 1.484375, -0.51171875, 0.859375, 2.609375, 0.8515625]
